# Version separada por comas de 200.txt
3600,1000,1040
3601,994,1041
3602,995,1042
3603,995,1044
3604,992,1041
3605,992,1041
3606,994,1042
3607,994,1041
3608,994,1036
3609,992,1039
3610,986,1038
3611,987,1035
3612,987,1032
3613,988,1037
3614,989,1038
3615,988,1034
3616,986,1029
3617,980,1033
3618,980,1038
3619,979,1036
3620,981,1030
3621,985,1032
3622,985,1037
3623,982,1034
3624,981,1032
3625,978,1036
3626,980,1039
3627,980,1035
3628,981,1030
3629,976,1033
3630,976,1037
3631,976,1036
3632,975,1032
3633,975,1034
3634,975,1032
3635,973,1030
3636,974,1031
3637,974,1036
3638,975,1037
3639,976,1034
3640,973,1032
3641,970,1035
3642,969,1034
3643,969,1033
3644,969,1031
3645,967,1036
3646,968,1031
3647,968,1026
3648,969,1030
3649,968,1036
3650,964,1032
3651,963,1025
3652,967,1027
3653,968,1031
3654,968,1031
3655,966,1029
3656,968,1032
3657,965,1034
3658,966,1030
3659,965,1025
3660,968,1028
3661,966,1035
3662,967,1033
3663,966,1029
3664,966,1028
3665,963,1032
3666,966,1031
3667,965,1029
3668,969,1031
3669,968,1034
3670,964,1028
3671,962,1028
3672,963,1035
3673,964,1037
3674,964,1032
3675,965,1030
3676,962,1033
3677,961,1033
3678,964,1030
3679,969,1034
3680,970,1035
3681,974,1035
3682,973,1031
3683,971,1032
3684,974,1039
3685,978,1040
3686,980,1036
3687,979,1036
3688,975,1040
3689,973,1035
3690,974,1036
3691,974,1039
3692,977,1040
3693,972,1039
3694,971,1035
3695,968,1037
3696,966,1038
3697,968,1036
3698,967,1039
3699,963,1037
3700,960,1035
3701,960,1032
3702,959,1036
3703,960,1042
3704,962,1036
3705,967,1033
3706,966,1037
3707,961,1038
3708,956,1036
3709,955,1036
3710,962,1042
3711,962,1038
3712,959,1035
3713,956,1033
3714,958,1040
3715,958,1041
3716,962,1038
3717,963,1035
3718,960,1037
3719,958,1037
3720,957,1033
3721,957,1038
3722,957,1039
3723,958,1037
3724,950,1033
3725,946,1035
3726,945,1039
3727,949,1036
3728,959,1034
3729,974,1034
3730,988,1035
3731,1006,1032
3732,1024,1034
3733,1051,1039
3734,1070,1039
3735,1091,1034
3736,1109,1033
3737,1127,1036
3738,1145,1037
3739,1149,1037
3740,1137,1039
3741,1116,1044
3742,1090,1039
3743,1046,1038
3744,989,1045
3745,942,1051
3746,915,1049
3747,898,1047
3748,894,1048
3749,898,1050
3750,910,1046
3751,920,1045
3752,928,1046
3753,927,1047
3754,928,1044
3755,932,1042
3756,936,1046
3757,936,1048
3758,934,1041
3759,931,1038
3760,928,1039
3761,926,1035
3762,930,1032
3763,935,1036
3764,940,1040
3765,943,1038
3766,941,1030
3767,941,1032
3768,941,1037
3769,942,1036
3770,944,1032
3771,949,1030
3772,944,1034
3773,944,1034
3774,943,1031
3775,948,1036
3776,949,1039
3777,954,1038
3778,952,1030
3779,949,1033
3780,950,1037
3781,950,1039
3782,951,1034
3783,951,1035
3784,947,1036
3785,944,1033
3786,944,1029
3787,948,1036
3788,948,1038
3789,948,1037
3790,950,1031
3791,951,1030
3792,952,1038
3793,950,1038
3794,953,1034
3795,955,1031
3796,952,1035
3797,952,1038
3798,953,1035
3799,955,1032
3800,958,1033
3801,958,1035
3802,958,1031
3803,957,1029
3804,956,1033
3805,958,1037
3806,957,1035
3807,954,1034
3808,954,1031
3809,952,1035
3810,955,1036
3811,961,1033
3812,966,1032
3813,965,1034
3814,963,1035
3815,962,1031
3816,960,1032
3817,963,1035
3818,964,1035
3819,965,1032
3820,965,1029
3821,965,1033
3822,965,1039
3823,965,1038
3824,966,1035
3825,965,1033
3826,965,1033
3827,965,1034
3828,970,1033
3829,970,1038
3830,972,1040
3831,972,1038
3832,968,1032
3833,968,1032
3834,971,1036
3835,975,1040
3836,978,1038
3837,978,1034
3838,977,1036
3839,976,1040
3840,976,1040
3841,975,1040
3842,976,1037
3843,977,1042
3844,976,1038
3845,974,1035
3846,974,1036
3847,977,1045
3848,976,1045
3849,975,1042
3850,973,1038
3851,971,1039
3852,968,1042
3853,970,1042
3854,970,1039
3855,975,1042
3856,972,1041
3857,969,1041
3858,966,1041
3859,967,1046
3860,967,1045
3861,966,1042
3862,964,1039
3863,965,1040
3864,969,1044
3865,972,1045
3866,972,1042
3867,972,1044
3868,969,1043
3869,966,1041
3870,967,1040
3871,968,1040
3872,966,1044
3873,966,1044
3874,962,1040
3875,957,1038
3876,959,1041
3877,960,1041
3878,960,1036
3879,958,1036
3880,957,1039
3881,954,1039
3882,956,1037
3883,957,1037
